	NR	NRName	CID	EC50
8252	NR1C3	PPAR_gamma	9594	0.003
8264	NR1C3	PPAR_gamma	9606	0.003
9104	NR2B1	RXR_alpha	6150	0.003
9458	NR2B2	RXR_beta	4070	0.003
9593	NR2B2	RXR_beta	4205	0.003
9174	NR2B1	RXR_alpha	6220	0.0034
8779	NR2B1	RXR_alpha	3354	0.0038
9316	NR2B3	RXR_gamma	10096	0.0038
5142	NR1C2	PPAR_delta	6546	0.004
7449	NR1C3	PPAR_gamma	7163	0.004
6279	NR1C3	PPAR_gamma	3007	0.004
9228	NR2B3	RXR_gamma	4282	0.004
483	NR1H2	LXR_beta	8640	0.004
884	NR1C1	PPAR_alpha	3560	0.004
1275	NR1C1	PPAR_alpha	3951	0.004
1464	NR1C1	PPAR_alpha	5019	0.004
1474	NR1C1	PPAR_alpha	5029	0.004
1738	NR1C1	PPAR_alpha	5293	0.004
1895	NR1C1	PPAR_alpha	7363	0.004
1969	NR1C1	PPAR_alpha	7437	0.004
1994	NR1C1	PPAR_alpha	7462	0.004
2000	NR1C1	PPAR_alpha	7468	0.004
2543	NR1C1	PPAR_alpha	9135	0.004
2758	NR1C1	PPAR_alpha	9350	0.004
3033	NR1C1	PPAR_alpha	10884	0.004
3040	NR1C1	PPAR_alpha	10891	0.004
3282	NR1C1	PPAR_alpha	11133	0.004
4404	NR1C2	PPAR_delta	1726	0.004
4517	NR1C2	PPAR_delta	2184	0.004
4522	NR1C2	PPAR_delta	2189	0.004
4528	NR1C2	PPAR_delta	2195	0.004
4534	NR1C2	PPAR_delta	2201	0.004
4858	NR1C2	PPAR_delta	2525	0.004
4995	NR1C2	PPAR_delta	2662	0.004
5020	NR1C2	PPAR_delta	2687	0.004
5029	NR1C2	PPAR_delta	2696	0.004
5147	NR1C2	PPAR_delta	6551	0.004
5524	NR1C2	PPAR_delta	6928	0.004
5962	NR1C3	PPAR_gamma	2136	0.004
6007	NR1C3	PPAR_gamma	2735	0.004
6149	NR1C3	PPAR_gamma	2877	0.004
6152	NR1C3	PPAR_gamma	2880	0.004
6244	NR1C3	PPAR_gamma	2972	0.004
6555	NR1C3	PPAR_gamma	4352	0.004
6564	NR1C3	PPAR_gamma	4361	0.004
6994	NR1C3	PPAR_gamma	4791	0.004
7081	NR1C3	PPAR_gamma	6243	0.004
7639	NR1C3	PPAR_gamma	8004	0.004
7675	NR1C3	PPAR_gamma	8040	0.004
7698	NR1C3	PPAR_gamma	8063	0.004
7716	NR1C3	PPAR_gamma	8081	0.004
7717	NR1C3	PPAR_gamma	8082	0.004
7722	NR1C3	PPAR_gamma	8087	0.004
7789	NR1C3	PPAR_gamma	8154	0.004
7979	NR1C3	PPAR_gamma	8344	0.004
8127	NR1C3	PPAR_gamma	8492	0.004
8263	NR1C3	PPAR_gamma	9605	0.004
8277	NR1C3	PPAR_gamma	9619	0.004
8822	NR2B1	RXR_alpha	3397	0.004
8911	NR2B1	RXR_alpha	5957	0.004
9145	NR2B1	RXR_alpha	6191	0.004
9195	NR2B3	RXR_gamma	4249	0.004
9370	NR2B3	RXR_gamma	10150	0.004
9600	NR2B2	RXR_beta	4212	0.0043
3462	NR1C1	PPAR_alpha	11313	0.005
4897	NR1C2	PPAR_delta	2564	0.005
7467	NR1C3	PPAR_gamma	7181	0.005
8733	NR2B1	RXR_alpha	3308	0.005
919	NR1C1	PPAR_alpha	3595	0.005
962	NR1C1	PPAR_alpha	3638	0.005
1242	NR1C1	PPAR_alpha	3918	0.005
1392	NR1C1	PPAR_alpha	4947	0.005
1739	NR1C1	PPAR_alpha	5294	0.005
1943	NR1C1	PPAR_alpha	7411	0.005
2426	NR1C1	PPAR_alpha	9018	0.005
2601	NR1C1	PPAR_alpha	9193	0.005
2873	NR1C1	PPAR_alpha	9465	0.005
2986	NR1C1	PPAR_alpha	10837	0.005
3283	NR1C1	PPAR_alpha	11134	0.005
3542	NR1H4	FXR	5737	0.005
4400	NR1C2	PPAR_delta	1722	0.005
4419	NR1C2	PPAR_delta	1741	0.005
4521	NR1C2	PPAR_delta	2188	0.005
4923	NR1C2	PPAR_delta	2590	0.005
4947	NR1C2	PPAR_delta	2614	0.005
5026	NR1C2	PPAR_delta	2693	0.005
5049	NR1C2	PPAR_delta	6453	0.005
